jugador,cfn_id,personaje,pais,mr
4Fun,3741486352,Ken,Chile,1617
TRT Zero,3526445220,Ryu,Brasil,1617
Hunter,3508961057,JP,Brasil,1616
Be Honest :),3019122403,Kimberly,Brasil,1616
JEMB,3285130477,Kimberly,Brasil,1616
4TW-Zano,2818729614,Dee Jay,Colombia,1616
tinkus551,3087367113,Ken,Perú,1616
bronze player,1974218028,Cammy,Brasil,1615
Saruman,1554655045,JP,Brasil,1615
Z4FABIO,2209350081,Kimberly,Brasil,1615
MercadoLibre,2715598622,Blanka,Uruguay,1615
Ghost777,3778175915,Lily,Brasil,1615
negocelest,1474435471,Lily,Brasil,1615
Veradd,3830649048,Ken,Brasil,1615
Kusanagi,1135041574,Ken,Brasil,1615
Orion,1414241942,Ryu,Brasil,1615
Picture,3091515435,Cammy,Venezuela,1614
cocoNUTSomg,1216499239,Manon,Brasil,1614
shoriuguen,4267518415,Luke,Brasil,1614
Clamper,3345413606,Luke,Brasil,1614
Rusted,3459457869,Marisa,Brasil,1614
kuroko,3309809225,Juri,Chile,1614
Faladomi,3937035953,Dee Jay,Perú,1614
Artchie,3438983191,Cammy,Brasil,1613
GuistyPS,3132365326,Cammy,Brasil,1613
Vini,2200484414,Jamie,Brasil,1613
Lunatico,2436731436,E. Honda,Brasil,1613
luisitox,3514479228,E. Honda,Argentina,1613
Jummy,3540734440,Juri,Brasil,1613
Hugodz,1255818411,Dhalsim,Brasil,1612
Vinícius BRFist,1699137969,Kimberly,Brasil,1612
DrDisneyLand,2527314495,Marisa,Brasil,1612
Bobinoso,1232898494,Dee Jay,Brasil,1612
MCRJ1982,4032495906,Ryu,Brasil,1612
TRT Zero,3526445220,Cammy,Brasil,1611
Rosencrantz,3330238530,JP,Brasil,1611
BiscoitoCremoso,1703407715,Jamie,Brasil,1611
nightcrawler,1437763374,Guile,Brasil,1611
Unoma,1298829123,Marisa,Argentina,1611
Kasesnake,3681511624,Ken,Uruguay,1611
UadsonFGC,1868978050,Ryu,Brasil,1611
Andsama,3932296977,JP,Brasil,1610
FeFFoM,3755257046,Chun-Li,Brasil,1610
Breaker,1110022150,Blanka,Brasil,1610
ibukifighter,3434428763,Ken,Brasil,1610
GustavoPage,2108969751,Ken,Brasil,1610
Leo Fighter,2424450892,Ryu,Brasil,1610
Sanosuke,4236114719,Ryu,Argentina,1610
china aqn,1656339819,Dhalsim,Brasil,1609
Pombo,3622917930,Manon,Brasil,1609
Olhos De Gato,3013825616,Chun-Li,Brasil,1609
hugokof,2745036708,E. Honda,Brasil,1609
StyleBug,2335458628,Luke,Brasil,1609
Habilidoso02,3707070706,Marisa,Brasil,1609
Caio_cfs,2499901989,Marisa,Brasil,1609
HNK-XB,3139982288,Dee Jay,Brasil,1609
HiR0,3431504915,Cammy,Brasil,1608
TheGolias,3343445468,JP,Brasil,1608
mortalmiller,2239293197,JP,Brasil,1608
Zack18th,2832129412,Manon,Perú,1608
cuartoestado,1607327329,Luke,Ecuador,1608
Christian,3353813962,Guile,Perú,1608
GNOCZERA,1288825501,Marisa,Brasil,1608
aki supremacy,2804158364,A.K.I.,Brasil,1608
TRT Zero,3526445220,JP,Brasil,1607
Guilherme Lemez,3814323799,Guile,Brasil,1607
KDashRLZ,1059703471,A.K.I.,Brasil,1607
Replay,1063256527,Dee Jay,Brasil,1607
JokerFgc,2513963265,Dhalsim,Brasil,1606
moog city,1147313006,Dhalsim,Brasil,1606
FlashKing,4150656475,Kimberly,Brasil,1606
DidimoKOF,3389241176,Kimberly,Brasil,1606
Shin Fighter,2130379469,Luke,Brasil,1606
Gordo Teton,2879080301,Guile,Argentina,1606
Fela,2800900302,Marisa,Brasil,1606
InevitableDSRE,4289797259,Juri,Argentina,1606
Koruru,1441865490,Rashid,Brasil,1606
BOD_Choken,1161967516,Ken,Chile,1606
ZuZa,3622225115,Ken,Brasil,1606
ZECK21,1815550684,Jamie,Chile,1605
VrsEnock,2343363350,Luke,Brasil,1605
Rellik,3845315381,Rashid,Guyana,1605
Ativanelson,4025035131,Ken,Brasil,1605
nakagawa_hanako,1742615365,Cammy,Brasil,1604
Ledorock,2201953687,Dhalsim,Brasil,1604
XistoSennin,2273866751,JP,Brasil,1604
TgkSama,2889270832,Manon,Brasil,1604
Lorena,3667827363,Manon,Brasil,1604
OTL_XyP,2740890960,Jamie,Chile,1604
NFMS FENNIK,1419083718,E. Honda,Chile,1604
Stanislaw,3742003629,Guile,Brasil,1604
Javainas,2353032170,Juri,Brasil,1604
JNKDog,1443564975,Blanka,Brasil,1604
Seu Brasil,3053612879,Cammy,Brasil,1603
jmmadruga,3435189368,E. Honda,Brasil,1603
ElevenRandom,4163488511,Luke,Brasil,1603
Tenóbio,1478385256,Marisa,Brasil,1603
Titio Avô,3254431214,Blanka,Brasil,1603
EL STRANGER,2542992858,Ryu,Brasil,1603
Dujardin,4191127046,Ryu,Brasil,1603
Witch,1049820499,Cammy,Colombia,1602
Bomber,3435949279,JP,Brasil,1602
JerseyDevil,4187206713,Manon,Argentina,1602
ちび丸ちゃん,1881201907,Chun-Li,Brasil,1602
HappyOli,1485483368,Kimberly,Brasil,1602
TuchinhaBR,2627923215,Luke,Brasil,1602
LOLERO24,2471711924,Luke,Ecuador,1602
DMulherPMulher,2056705965,Marisa,Brasil,1602
Trajano,1403785916,Marisa,Brasil,1602
Wicked,3067165936,Juri,Brasil,1602
DiiogoSX,3277715283,Dee Jay,Brasil,1602
SolidAlonso23,2217971784,Dee Jay,Chile,1602
Deivid22,2564195052,Ken,Perú,1602
China,2475459394,Cammy,Brasil,1601
Grayfox,1299476249,Zangief,Brasil,1601
Insouciant,2086069920,Manon,Argentina,1601
YellowOrder,2702794163,Kimberly,Brasil,1601
feliperenan,1149463106,Luke,Brasil,1601
RashBoxGNT,1129033303,Luke,Brasil,1601
Sneiru,4178531576,Luke,Chile,1601
Milomiloc,1184538949,Luke,Brasil,1601
bronze player,1974218028,Ken,Brasil,1601
RAFA,2961007146,Ken,Brasil,1601
Jones,1920187265,Ryu,Paraguay,1601
cartezao,2083489714,Ryu,Brasil,1601
Shinku,3442084772,Cammy,Argentina,1600
NEOyu,2934422867,JP,Brasil,1600
Willzin,3395900397,Zangief,Brasil,1600
Rabisco,4014335798,Zangief,Brasil,1600
Leptospirose,4030394865,Manon,Brasil,1600
Tweny,3752571501,Chun-Li,Brasil,1600
renZ,2640781049,Jamie,Brasil,1600
EndozSaitama,3456312327,E. Honda,Brasil,1600
gishac,3039569313,Luke,Ecuador,1600
Nza Warcry,1566145971,Marisa,Argentina,1600
FeFFoM,3755257046,Lily,Brasil,1600
iorgut,3620718254,Lily,Brasil,1600
limalucas,1171690515,Ryu,Brasil,1600
Prado,3241362479,Ryu,Argentina,1600
tinkus551,3087367113,Ryu,Perú,1600
Kinaiti[Zeno],1495025207,Ryu,Brasil,1600
R3natinha,3025663369,Manon,Brasil,1599
IMBATÍVELdaLOUD,2028701717,Rashid,Brasil,1599
DrDisneyLand,2527314495,Dee Jay,Brasil,1599
kodo,2145527011,Dee Jay,Brasil,1599
Killerwal,3381453962,Luke,Chile,1598
NFMS KraiD,3294438838,Blanka,Chile,1598
Jogo_Lixo,1858860855,Dee Jay,Brasil,1598
DrDisneyLand,2527314495,Ken,Brasil,1598
-GibaDek,4136784557,Ryu,Brasil,1598
Rodibr,2073440330,Luke,Brasil,1597
GustavoPage,2108969751,Dee Jay,Brasil,1597
NFMS FENNIK,1419083718,JP,Chile,1596
PTD_ZENITSU,3856078803,Juri,Brasil,1596
Amaterasu_13,3230190688,Juri,Brasil,1596
IMBATÍVELdaLOUD,2028701717,Lily,Brasil,1596
DonKensou,3024818084,Cammy,Chile,1595
Take the poison,3983788509,Jamie,Uruguay,1595
Tsuna Pisadinha,3521175101,Ken,Brasil,1595
Checho,2357560420,Zangief,Argentina,1594
sendo_akira,1897734193,Manon,Brasil,1594
Konami,4075613204,Chun-Li,Venezuela,1594
TODDYYZ,2491578408,Marisa,Brasil,1594
MadaraUchiha040,2284448028,Rashid,Brasil,1593
Vini,2200484414,Ryu,Brasil,1593
BF-Garrafox,3998641306,JP,Brasil,1592
Tsuka,3862866126,Manon,Chile,1592
goticlolita,2608597332,Chun-Li,Brasil,1592
JeanVujanski,3492204569,Jamie,Brasil,1592
Déssio pinto,3740283557,Luke,Brasil,1592
JeanVujanski,3492204569,Juri,Brasil,1592
NaMe1eSs,3478093914,Blanka,Brasil,1592
KlderonV2,3845561914,Ken,Chile,1592
Zabaldodoria,4002599277,Ryu,Brasil,1592
Vini,2200484414,Chun-Li,Brasil,1591
ラグトライン,2415068698,Juri,Brasil,1591
Vini,2200484414,Rashid,Brasil,1591
Intru,1425036689,Dee Jay,Argentina,1591
Hawkpro,1402531329,Dee Jay,Venezuela,1591
GenyarikadoX,1217840637,Cammy,Argentina,1590
Lichtgestalt,1497426825,Juri,Chile,1590
Mauvri,2823739328,A.K.I.,Chile,1590
BLK | Craime,1009159858,Luke,Chile,1589
Vendo Rocoto,3505794548,Marisa,Perú,1589
PrincesahKira,2766067942,Juri,Brasil,1589
Kyo Zureia,3755190272,Rashid,Brasil,1589
Aaaaii Chavenhu,1882717359,Dee Jay,Brasil,1589
Winter,4125616529,Manon,Brasil,1588
Zane,1777564348,Luke,Chile,1588
Jogo_Lixo,1858860855,Guile,Brasil,1588
fabricio_uvo,2462069403,Juri,Brasil,1588
AksVitor,2478519409,Rashid,Brasil,1588
MuriloBds,1686008862,Lily,Brasil,1588
oP-LucaZ,2251122541,Dee Jay,Brasil,1588
SephiLB,1191290110,JP,Argentina,1587
DarkLord,1190421746,JP,Argentina,1587
NFMS_KUROASHI,3920874556,E. Honda,Chile,1587
ibukifighter,3434428763,A.K.I.,Brasil,1587
Supaida,4182479156,Cammy,Argentina,1586
Zabaldodoria,4002599277,Kimberly,Brasil,1586
MichelW,3100132872,Rashid,Brasil,1586
DarkZomb1e,2381603012,A.K.I.,Brasil,1586
Stryker999,3185799969,Lily,Brasil,1586
EVIL GUST,2720218871,Ryu,Brasil,1586
PGT | Harvey,3180301402,Ryu,Chile,1586
Lanchera,3661483924,Cammy,Brasil,1585
OFamosoPeDPano,3672641658,Chun-Li,Brasil,1585
PR3DA,2684867467,Marisa,Brasil,1585
FERRARIBLACK,1900449462,Rashid,Brasil,1585
Hunter,3508961057,Dee Jay,Brasil,1585
Young_Trussy,4234865764,Ryu,Paraguay,1585
JeanVujanski,3492204569,Zangief,Brasil,1584
Neolardo,1001698091,Kimberly,Brasil,1584
SUPER-SHAO-KANH,2613013334,Luke,Brasil,1584
Winds,3371831965,Blanka,Chile,1584
FGM1089,1186171842,Rashid,Colombia,1584
wilLziK33,2254838501,JP,Brasil,1583
T.tv/cloud17,2112826130,Juri,Chile,1583
Tahiel,3282223075,Rashid,Argentina,1583
thiaguinhor9,3702865818,A.K.I.,Brasil,1583
BLK | Craime,1009159858,Ryu,Chile,1583
NeoKyo,3877607448,Juri,Argentina,1582
MoMo,1393510973,Ken,Brasil,1582
Maqness,1196657402,Chun-Li,Chile,1581
Incerto,4042147675,Kimberly,Brasil,1581
GustavoPage,2108969751,Jamie,Brasil,1581
KBECINHA,2239902789,Luke,Brasil,1581
Caioch,1043149607,Luke,Brasil,1581
Zabaldodoria,4002599277,Marisa,Brasil,1581
Gatoss64,2667490574,Blanka,Chile,1581
CapitanMDLuffy,2555043147,A.K.I.,Argentina,1581
Kyu | Ozz,4149998022,Dee Jay,Chile,1581
MacTrix,2836431963,Ken,Brasil,1581
MichelW,3100132872,Cammy,Brasil,1580
Kevon,3743368374,Manon,Argentina,1580
WootZ,1273868273,Guile,Venezuela,1580
bronze player,1974218028,Marisa,Brasil,1580
meaning,2409999475,Juri,Brasil,1580
HumaN,3936749550,Ken,Chile,1580
Vsslol,2291923289,Ken,Brasil,1580
Prado,3241362479,Jamie,Argentina,1579
tilti1,1501085057,E. Honda,Brasil,1579
MIT | Alonso,4239297557,Rashid,Argentina,1579
Nameless,1571043664,Ken,Brasil,1579
Lobo,2750392638,Zangief,Colombia,1578
Lingiard,1131627175,Jamie,Brasil,1578
Valdi,4147928784,A.K.I.,Brasil,1578
_Spartacus_,3014132256,Lily,Brasil,1578
Br-K.O.,2048208951,Cammy,Brasil,1577
Ulgrot,3885351405,Zangief,Perú,1577
Myamoto Musashi,2213783959,Luke,Brasil,1577
Namikaze,2098501894,Rashid,Brasil,1577
Brazil Airforce,4038429262,Cammy,Brasil,1576
Gomao,3003691652,Zangief,Brasil,1576
DudeLove,1266525501,Chun-Li,Brasil,1576
Ruim com arcade,2239436253,Guile,Brasil,1576
Rg | Oni,1142581093,Juri,Perú,1576
Khal Drag,2717224264,Cammy,Brasil,1575
ArcHighwind,2844960367,JP,Brasil,1575
sylks,2051592988,JP,Brasil,1575
theforce90,1346704274,JP,Brasil,1575
BaconStripsCL,1793675313,Zangief,Chile,1575
Jhosh,1483485798,Chun-Li,Brasil,1575
Axel,3713977324,E. Honda,Perú,1575
NomaD,1376151085,Guile,Brasil,1575
Zane,1777564348,A.K.I.,Chile,1575
Odd1nn,3990306533,Ken,Brasil,1575
-Dek,1363395304,Ryu,Brasil,1575
MoMo,1393510973,Cammy,Brasil,1574
Betinho,3773898838,Jamie,Brasil,1574
fightingdlcz,1248184210,Luke,Brasil,1574
CAMPEAO GOIANO,1511343041,Marisa,Brasil,1574
ttv:oEremitaFGC,1983745635,Marisa,Brasil,1574
Jeff89,1681603544,Ken,Brasil,1574
Bosch fan,3581023805,Cammy,Chile,1573
Deivid22,2564195052,Zangief,Perú,1573
Blackbas,2153199319,Manon,Chile,1573
Fehres,2656011801,Juri,Brasil,1573
运球破紧逼,2230454442,Ken,Argentina,1573
Madbuda,3400027851,Ken,Chile,1573
Tereza_ggs,3095734444,Kimberly,Brasil,1572
WFALCON3D,3474633321,Luke,Perú,1572
Enriquito,3407340277,Guile,Brasil,1572
Mau Mau,3445473190,Marisa,Brasil,1572
Matsuda,2430463396,Rashid,Brasil,1572
Shinku,3442084772,Rashid,Argentina,1572
G01ira,2548184237,A.K.I.,Brasil,1572
Markiño,3247673417,Ken,Chile,1572
NeoJared,1814972076,Ryu,Ecuador,1572
MalPóçuVêCêusDI,4045706677,Ryu,Brasil,1572
ShinRadahn,1718919551,Cammy,Chile,1571
K1llerBee,2616292938,Ken,Brasil,1571
bfzoom,1088468277,JP,Colombia,1570
STA Gaara CTBA,2926063984,Juri,Brasil,1570
EL MAGNIFICO,1869375748,Blanka,Argentina,1570
-Dragon_Legend-,3710516941,Rashid,Brasil,1570
Matriaxx85,2453071198,Dee Jay,Chile,1570
mtmago_,2694468861,Ken,Brasil,1570
NeguinhoFGC,2999421410,Ken,Brasil,1570
Meliodas,2059390395,Zangief,Brasil,1569
Skeet,2394694776,Manon,Chile,1569
josehand1,1658215019,Chun-Li,Brasil,1569
Ssf4,3394823144,Guile,Chile,1569
Malagazs,1580773939,Blanka,Brasil,1569
CapistranoFGC,2904152892,Rashid,Brasil,1569
Anti-Medfight,2163456635,Ken,Colombia,1569
Pedream,2616132292,Jamie,Brasil,1568
theforce90,1346704274,Jamie,Brasil,1568
xDunkaNx,3315641349,Guile,Perú,1568
WillieGC,3786182290,Ken,Perú,1568
Umbabarauma,3541184203,Ryu,Brasil,1568
Bocchi the Rock,1625885485,Cammy,Venezuela,1567
EVIL_DHALSIM,3696119938,Dhalsim,Brasil,1567
Huggingtrees,2257127429,JP,Brasil,1567
Juiceman,3550154736,JP,Guyana,1567
diew,1857330475,Jamie,Brasil,1567
Nfms morozin,1482643866,Luke,Chile,1567
Caio_cfs,2499901989,Luke,Brasil,1567
KáiserPudú ♡♪!?,2341247872,A.K.I.,Chile,1567
JrxSemedo,1314492193,Ryu,Brasil,1567
IDFew,2783304469,Cammy,Brasil,1566
XGH-ORUS,1536010793,Luke,Perú,1566
Zardeck,2091718993,Juri,Brasil,1566
mtmago_,2694468861,Ryu,Brasil,1566
NeguinhoFGC,2999421410,Manon,Brasil,1565
SkipNeutral,2966020847,Luke,Brasil,1565
Popibluebeast,4250725960,Marisa,Argentina,1565
Ghost777,3778175915,Juri,Brasil,1565
Meriac,1138837886,Juri,Brasil,1565
MauricioAM,2895054811,Dee Jay,Brasil,1565
Jummy,3540734440,Cammy,Brasil,1564
|ren,2694933032,Manon,Brasil,1564
Cobra,1303513404,Guile,Brasil,1564
Kleber_Ninomiya,1371825546,Marisa,Brasil,1564
Yamato Onihime,2993097866,Juri,Chile,1564
Jhow07,4228370430,Lily,Brasil,1564
PapaCapim,2786074053,Ken,Brasil,1564
PGT | Huason,3170130163,Dhalsim,Chile,1563
MuriloSmoke,1137042071,Manon,Brasil,1563
SpeedKola,3282461519,Blanka,Colombia,1563
CroixFGC,2729808895,Zangief,Chile,1562
NanoMachinesSon,1853826087,Zangief,Brasil,1562
Ceruso,3222055501,Manon,Brasil,1562
GS-Mxy,1420789213,Chun-Li,Argentina,1562
Ryuseless,3685484944,Juri,Brasil,1562
RubaoCam,3368396850,Blanka,Brasil,1562
Rataman,1401120366,Dee Jay,Chile,1562
AcceleratorFGC,3862440819,Ken,Brasil,1562
Maverick,2837451738,Ken,Brasil,1562
Juiceman,3550154736,Kimberly,Guyana,1561
Sonic,3672000899,Luke,Argentina,1561
Kiliranshello,1648417148,Marisa,Brasil,1561
Kinimaster,2201317771,Ken,Chile,1561
Dartayx,1831811661,Ken,Chile,1561
Toicin,3105515955,Ken,Brasil,1561
VrsEnock,2343363350,Ryu,Brasil,1561
Toicin,3105515955,Ryu,Brasil,1561
lulasenpai,2068580159,Cammy,Brasil,1560
Jamiro,2284900258,Manon,Brasil,1560
Dookie-PC,3277074647,Rashid,Argentina,1560
HARAS,3966018758,Dee Jay,Brasil,1560
Shindanyevil,4049099097,Ryu,Chile,1560
Sonic,3672000899,Cammy,Argentina,1559
Kyoto,2988966782,JP,Brasil,1559
Kadosh,3098325490,Jamie,Brasil,1559
LIUBLACK FGC,3524474439,Luke,Brasil,1559
CalculoProvSext,3803858744,Guile,Brasil,1559
Lavelly,1469825485,Juri,Brasil,1559
TTV/BomBerMixX,2073649405,Dee Jay,Brasil,1559
NebrakaSF,4160494664,Dee Jay,Brasil,1559
Paternostro,3572686420,Dee Jay,Brasil,1559
Keoma,2796369481,Ryu,Brasil,1559
RobDoka,1387045886,Ryu,Brasil,1559
showside,2751003849,Cammy,Brasil,1558
Gordokaiser,3080350596,Cammy,Argentina,1558
kuringa,2883089315,Zangief,Brasil,1558
Order_Select,2704946346,Jamie,Argentina,1558
Skynessito,2936714259,Dee Jay,Argentina,1558
ClashOtavio,3056003441,Ken,Brasil,1558
Mavier,1456764251,Ryu,Brasil,1558
WFALCON3D,3474633321,Cammy,Perú,1557
Dydo16,2139837743,Dhalsim,Brasil,1557
MAHORAGA,1717859152,Marisa,Brasil,1557
Evilkyk,4216151683,Juri,Brasil,1557
Sabotinha,3664506338,Ken,Brasil,1557
Laboca,4130193397,Guile,Brasil,1556
Kramelmen,2632867453,Juri,Brasil,1556
elkuruta,2856304291,Zangief,Chile,1555
MoMo,1393510973,Jamie,Brasil,1555
Junio STAR,2026988657,Luke,Brasil,1555
DAVIDVIP,1360342266,Guile,Brasil,1555
\CLE/,1121953799,Dee Jay,Brasil,1555
PHD|Darkaizen,1650086293,Ken,Perú,1555
Mulan,3225560274,JP,Brasil,1554
Sait,1824036126,Rashid,Chile,1554
Demitrix,3816542143,A.K.I.,Brasil,1554
Odd1nn,3990306533,Ryu,Brasil,1554
Tori_Hito,2212375065,Chun-Li,Brasil,1553
AE | Ninocci,1716597090,Chun-Li,Venezuela,1553
Ate mais,3008843373,Kimberly,Brasil,1553
TTV/Lajeseli,3607263435,Marisa,Brasil,1553
SFTJACARÉBrasil,3266891526,Blanka,Brasil,1553
DavidRnR,1980877827,Ken,Argentina,1553
Miidas,3991435604,Cammy,Brasil,1552
mascoooot,2518866904,Cammy,Brasil,1552
DeepQuery,2842759854,JP,Argentina,1552
ЯeVerse,2593410184,Zangief,Brasil,1552
Luki_fox,2453548249,Marisa,Chile,1552
Uber Celta,2156489061,Dee Jay,Brasil,1552
Jirex,4096010480,Cammy,Perú,1551
Arc | YungBruno,3514303783,Jamie,Brasil,1551
BocaBogard,3090615494,Guile,Brasil,1551
WillieGC,3786182290,Guile,Perú,1551
EVA_01,1716068085,Marisa,Perú,1551
ERIC,2130657278,Blanka,Brasil,1551
Pedro2301,1688733948,Lily,Brasil,1551
Primotb83,1844550361,JP,Brasil,1550
MAHORAGA,1717859152,Marisa,Brasil,1550
Mark!,3687668784,Blanka,Brasil,1550
Seifer,2978135901,Lily,Brasil,1550
Xanessu,2062348413,Ken,Argentina,1550
Nodus,4207346746,Dhalsim,Chile,1549
ROBKOF,1722122159,JP,Brasil,1549
combo666,4116289139,Chun-Li,Argentina,1549
KINKAKUGIN,4229299075,E. Honda,Brasil,1549
Sobrax,3307787464,Marisa,Venezuela,1549
@lhnpersonal,1816699203,Juri,Brasil,1549
WendyWilliams,3515424178,A.K.I.,Perú,1549
FENNIXX_FGC,1891405089,Dee Jay,Brasil,1549
Homem Lindo,1140253049,JP,Brasil,1548
NFMS ReNs,3429415163,Juri,Chile,1548
LARZEZEDABAHIA,3311207024,Blanka,Brasil,1548
Anatino,3131361242,Dee Jay,Brasil,1548
Uvap0tta,2998427882,Ken,Brasil,1548
MarvelKof,3349500395,JP,Argentina,1547
G01ira,2548184237,JP,Brasil,1547
cowfaceblackTTV,1840888070,Manon,Brasil,1547
Ferretti,2559712032,Luke,Brasil,1547
Berilo,2177989784,Marisa,Brasil,1547
Thezz,2077696372,Marisa,Argentina,1547
Nox Griffin,3690050160,Juri,Brasil,1547
EduMiketen,2066811441,Juri,Brasil,1547
VinhasFGC,1940524795,Rashid,Brasil,1547
zNtxMaxx,2693261140,Rashid,Brasil,1547
BAYAGAMI,2863582141,Dee Jay,Ecuador,1547
Stranger,4236656987,Ryu,Brasil,1547
Zé da Manga,2057736122,Zangief,Brasil,1546
MichelW,3100132872,Manon,Brasil,1546
Derzaum,2906746345,Chun-Li,Brasil,1546
DiegoRagnar,1273320840,Jamie,Brasil,1546
4Fun,3741486352,A.K.I.,Chile,1546
yKoelho,1052642627,Cammy,Brasil,1545
Jefersonnetto,3195940337,Kimberly,Brasil,1545
VerdadeiroAkuma,1883014038,Jamie,Brasil,1545
PGT | Harvey,3180301402,Jamie,Chile,1545
PekoraTeAmo,1417319009,A.K.I.,Chile,1545
White_mamba_06,3918322820,Cammy,Chile,1544
Noffam,3885710896,Dhalsim,Brasil,1544
Spinal,2653542639,JP,Brasil,1544
Hunter,3508961057,Jamie,Brasil,1544
Ctrl7,2741685193,Jamie,Ecuador,1544
CheerRONIN,2651827349,Jamie,Brasil,1544
2eZMK,1979660697,E. Honda,Venezuela,1544
Tecnologgamer,2364519703,Guile,Brasil,1544
CNPJOTO,1569152035,Rashid,Brasil,1544
Salazio,4204445828,Lily,Chile,1544
Lalomasters,4246772236,Ken,Perú,1544
Emiy4_,2714476334,Ken,Argentina,1544
Rabdo,1178917892,Cammy,Brasil,1543
Kratos Carioca,2148451362,Dhalsim,Brasil,1543
0lleb4r,1655831077,JP,Brasil,1543
StormRider,3965996044,Zangief,Brasil,1543
XAUMENDES,3106316612,Kimberly,Brasil,1543
Rindou,3590268575,Jamie,Brasil,1543
Maxi07,3728452428,Luke,Argentina,1543
Cirax28,2914192587,Rashid,Perú,1543
Toicin,3105515955,Cammy,Brasil,1542
Vzla_salazar,3475385770,Zangief,Venezuela,1542
vmcoelho,2258120580,Chun-Li,Brasil,1542
Afro Fallen,3997633119,Kimberly,Brasil,1542
Panta,3755755415,Marisa,Chile,1542
Gladiator,2508585938,Marisa,Brasil,1542
Reick,2707034943,Juri,Brasil,1542
BR.KO_TENZEN,3071489940,Lily,Brasil,1542
Igor-it,3307393912,Ken,Brasil,1542
Kazooie,2027883251,JP,Brasil,1541
RARI,3730328417,E. Honda,Brasil,1541
Marune,2997643035,Luke,Venezuela,1541
Nomad Jack,4181641030,Guile,Brasil,1541
Higuchisitor,3678241772,Guile,Perú,1541
Banana Rashid,1548687695,A.K.I.,Brasil,1541
Elchango,2241690774,Cammy,Argentina,1540
Blackbas,2153199319,Cammy,Chile,1540
RaphaSonicGG,3723548763,Dhalsim,Brasil,1540
Link_jeff,2779907176,Zangief,Brasil,1540
JohnnyTheFlash,2973635844,Kimberly,Brasil,1540
Jukilis,3735851943,Jamie,Brasil,1540
DiegoDude,1040890392,Rashid,Brasil,1540
Godot,2756874442,Ryu,Brasil,1540
EVORYU,1323477233,Ryu,Brasil,1540
Doda_Online,1540757990,Kimberly,Brasil,1539
Kakto,1178602464,Jamie,Brasil,1539
Browns,3648887339,Jamie,Brasil,1539
Lilbuma,3814861185,Jamie,Brasil,1539
Feijão,2119166776,E. Honda,Brasil,1539
Pxoto,2691646149,E. Honda,Brasil,1539
Antares,3653697714,Juri,Brasil,1539
MaxiSaleh,2906172928,Rashid,Argentina,1539
7SLAY,2672530048,A.K.I.,Brasil,1539
Nashadow,2905697620,Dee Jay,Brasil,1539
BOD_Lockser,3167274242,Cammy,Chile,1538
sabonete,3321922742,Zangief,Brasil,1538
Old-LetsFightYT,2463478226,Manon,Brasil,1538
TortureFrag,1353101062,Manon,Brasil,1538
Master zzzzzzz,1325453818,Guile,Perú,1538
Aligenígena,2670608280,Marisa,Brasil,1538
BrunoChrosS,2321750125,Juri,Brasil,1538
Maxx,4232096645,Blanka,Brasil,1538
Skeet,2394694776,Dee Jay,Chile,1538
Maxuel,2324740529,Dee Jay,Brasil,1538
MaverickHz,4054152510,Ken,Brasil,1538
Dilosnacho,3434439229,Zangief,Brasil,1537
Jeanny dArc,1572640334,Chun-Li,Brasil,1537
Welington_FGC,4200588622,Luke,Brasil,1537
Grove03,1860798531,Guile,Bolivia,1537
Chaol,3499065443,Juri,Brasil,1537
ArcHighwind,2844960367,Dee Jay,Brasil,1537
Popibluebeast,4250725960,Dee Jay,Argentina,1537
Jamizinha,2573164803,Cammy,Brasil,1536
Etnad,1275991031,Cammy,Chile,1536
Noel,1962270126,JP,Brasil,1536
TheGlimMaster,3814550524,Zangief,Brasil,1536
Mr Anderson,2201451960,Chun-Li,Brasil,1536
Sanrox,3562767111,Chun-Li,Brasil,1536
alan,2438647178,Kimberly,Brasil,1536
Old-LetsFightYT,2463478226,Luke,Brasil,1536
Julio150ml,3669708359,Guile,Brasil,1536
Jupiter,3798117462,Blanka,Brasil,1536
Bill,1087717533,Ryu,Brasil,1536
TiikoDF,2345496822,Cammy,Brasil,1535
BW_FenixReborn,2112232180,Cammy,Chile,1535
Wagsf6,2267567696,Kimberly,Brasil,1535
JF-Kawa,1133776482,Luke,Argentina,1535
THE_KAHN,3569887556,Blanka,Brasil,1535
TTv.CorreaPG,1214725236,Blanka,Brasil,1535
fé nas maluca,1195570945,Lily,Brasil,1535
Armcz,2478443482,JP,Brasil,1534
Spike,3728286353,Luke,Brasil,1534
Reick,2707034943,Juri,Brasil,1534
VeXx,3588618239,A.K.I.,Venezuela,1534
DoctorFritzzz,3702569682,Dee Jay,Brasil,1534
ちび丸ちゃん,1881201907,Ken,Brasil,1534
Maestro,2826151243,Ken,Chile,1534
AnordinaryG,4273755843,Ken,Brasil,1534
Lucas Bear,1934360382,Ryu,Brasil,1534
ELEJB,3916865648,Ryu,Brasil,1534
brunomaga,2313522440,Cammy,Brasil,1533
BRBOYBANDIDO,2812456012,JP,Brasil,1533
Eka1ly,3643568799,JP,Brasil,1533
Meliodas,2059390395,JP,Brasil,1533
ExpresoaPilar,1509000778,Manon,Colombia,1533
Kyllo98,3229534091,Chun-Li,Brasil,1533
DrDisneyLand,2527314495,Jamie,Brasil,1533
KiMLoKO,3178406568,Luke,Brasil,1533
