jugador,cfn_id,personaje,pais,mr
ExpresoaPilar,1509000778,Marisa,Colombia,1785
SnakeJr,1223643326,Cammy,Brasil,1784
Ludo,3383392215,Ken,Brasil,1784
Tahiel,3282223075,Kimberly,Argentina,1783
xOnlyDeviL,2641195047,Juri,Brasil,1783
JUNINHO-RAS,2622990354,Juri,Brasil,1781
theforce90,1346704274,Dee Jay,Brasil,1779
000001,3360697945,Cammy,Brasil,1777
Atma_,3516438373,Luke,Chile,1777
OTL_XyP,2740890960,Marisa,Chile,1776
Patelana,2268624580,Juri,Chile,1776
ZydaniFGC,1363370579,A.K.I.,Brasil,1774
nightcrawler,1437763374,JP,Brasil,1772
t.tv/WhispCL,2261897147,Zangief,Chile,1770
t.tv/qxuxapongo,1559699428,E. Honda,Chile,1770
@Zenith,1165762004,A.K.I.,Brasil,1770
Bens,4093633928,Chun-Li,Chile,1769
Vermi,3492744124,Luke,Chile,1769
Salvatore_pc,1154684827,Luke,Venezuela,1769
Rymaru,1714829100,Jamie,Brasil,1766
Namikaze,2098501894,A.K.I.,Brasil,1766
Perfectblue,3183581800,Chun-Li,Brasil,1764
NeroTheBoxer,1022545337,Dee Jay,Perú,1760
Frozen,3541138314,Jamie,Argentina,1759
Griffon_Mask,3034791941,Blanka,Brasil,1758
DiegoFelix,2918305176,Ryu,Brasil,1758
BrandonHeat77,1229890165,Kimberly,Brasil,1757
ChupeteHonesto,1316348267,Ken,Uruguay,1757
BUBsneo,4022337860,JP,Brasil,1756
Mau Mau,3445473190,Dee Jay,Brasil,1756
Archlion,1530490323,Cammy,Brasil,1755
tms00,1035530825,JP,Brasil,1754
_Spartacus_,3014132256,Marisa,Brasil,1753
Lucas,3408302826,Ken,Brasil,1753
LemonH,1067210036,Ken,Brasil,1753
HorusPaulin,2732379476,Luke,Brasil,1752
Salazio,4204445828,Rashid,Chile,1752
abimas360,3577672291,Dee Jay,Brasil,1752
EVIL GUST,2720218871,Ken,Brasil,1752
