rank,player,clase
203,KYLE#22431,barbarian
204,Raptor040#1967,barbarian
205,Astrogue#11593,barbarian
206,ishandel#1601,barbarian
207,Shrimby#1158,barbarian
208,Orodonis#1873,barbarian
209,Starbuzz#1600,barbarian
210,Sekta#6697,barbarian
211,Echo#1132,barbarian
212,ǶGoombah#1460,barbarian
213,DxWo316#1177,barbarian
214,Khaldor#2849,barbarian
215,Melphys#1617,barbarian
216,AkomoAkrio#1470,barbarian
217,GhostJelly#1700,barbarian
218,Scytherian#1673,barbarian
219,Craptastic#1430,barbarian
220,Oblivion#1512,barbarian
221,Qway#1749,barbarian
222,brendamn#1939,barbarian
223,shawnlol#1333,barbarian
224,Fuliautomatx#1115,barbarian
225,paleologos#1904,barbarian
226,Gelmor#1730,barbarian
227,Sin#1140,barbarian
228,Mike#1353,barbarian
229,c1rca#1138,barbarian
230,Stewman#1386,barbarian
231,RRtaz#1838,barbarian
232,Skincreme#1480,barbarian
233,JacksonKugar#1481,barbarian
234,tomatotom#1753,barbarian
235,Jmontic#1472,barbarian
236,Tar#1612,barbarian
237,BOO#1207,barbarian
238,Busaj52#1559,barbarian
239,Boots#1334,barbarian
240,SODIUMPAPI#1536,barbarian
241,Dysandelus#1421,barbarian
242,LordVazeL#1406,barbarian
243,Kulgark#1987,barbarian
244,Gryphter#1128,barbarian
245,Hpnotiq#1763,barbarian
246,Phrage#1818,barbarian
247,shinobu#12163,barbarian
248,antdez#1359,barbarian
249,Heretic#1446,barbarian
250,Shogun#12259,barbarian
251,Voxbob#1178,barbarian
252,CerealKiller#2894,barbarian
253,LottaMercy#11446,barbarian
254,samleong#1896,barbarian
255,Diablo4#11458,barbarian
256,Vezax#6414,barbarian
257,gruesome#12118,barbarian
258,Tuco#1636,barbarian
259,Charred#1909,barbarian
260,Aowin#1787,barbarian
261,Dracorage#1752,barbarian
262,machogwapo00#1801,barbarian
263,Leibo#1269,barbarian
264,TinyPancho#1621,barbarian
265,RawNerd#1571,barbarian
266,Chickn#1249,barbarian
267,armen#1275,barbarian
268,Relentless#11587,barbarian
269,Peplicious#11862,barbarian
270,Luizota#1463,barbarian
271,Grin#1784,barbarian
272,DarkUniverse#11200,barbarian
273,Jzyi#1121,barbarian
274,Artemis#1214,barbarian
275,Calljer#1916,barbarian
276,QuAkEgODD#1242,barbarian
277,Thunder#1925,barbarian
278,Gabynator#11130,barbarian
279,Amped#1345,barbarian
280,Alexandra#6628,barbarian
281,ZeroScore#11207,barbarian
282,Jinsho#1135,barbarian
283,Crosscut#1973,barbarian
284,Fumanchu#1631,barbarian
285,JROD#1494,barbarian
286,HolyDiver#1668,barbarian
287,EvilEddy#1253,barbarian
288,NutzAFloppin#1303,barbarian
289,WeedyP#1546,barbarian
290,SStearnZy#1546,barbarian
291,praE#1394,barbarian
292,Prinnyhunter#1169,barbarian
293,earti#1829,barbarian
294,HoneyDruid#1405,barbarian
295,XII1#1214,barbarian
296,Nice#11389,barbarian
297,Pogerz#6313,barbarian
298,Broli#1833,barbarian
299,Camisan#1369,barbarian
300,blacklisted#1818,barbarian
301,Marcoe85#1925,barbarian
302,CRACKER#1662,barbarian
303,ScZ#11583,barbarian
304,Jibeker#1692,barbarian
305,Nailer#1676,barbarian
306,ShakenBake#1857,barbarian
307,nanaoei#1665,barbarian
308,deadadvocate#1126,barbarian
309,Maxime#1373,barbarian
310,tractor#1272,barbarian
311,CuttyFlam#1825,barbarian
312,Stoptalking#1118,barbarian
313,Zelist#1829,barbarian
314,Shivster#1151,barbarian
315,Andonis#1690,barbarian
316,KickerBLU#1448,barbarian
317,RotaryRob#1845,barbarian
318,Nahr#1872,barbarian
319,PDUB#1568,barbarian
320,Veilas#1766,barbarian
321,Kingbaztard#1908,barbarian
322,BanditBoy#11800,barbarian
323,瘋狂死亡#4813,barbarian
324,ACERA#11255,barbarian
325,Jackal2150#1471,barbarian
326,Rhys#1185,barbarian
327,CDogg666#1662,barbarian
328,WMarinho#11546,barbarian
329,Toq#1125,barbarian
330,NinjaStalker#1607,barbarian
331,Sylus#1634,barbarian
332,RAYBOW#1983,barbarian
333,Wangtastic#1382,barbarian
334,Xerxes#1937,barbarian
335,Yaya#6161,barbarian
336,Voodoo#1304,barbarian
337,HogginDoss#1194,barbarian
338,Igor3Volf#1945,barbarian
339,Puresoul#1952,barbarian
340,Wolf#11122,barbarian
341,Euphus#1664,barbarian
342,BENZ#1633,barbarian
343,DateSama#1674,barbarian
344,AbolishPeace#1348,barbarian
345,Morrison#1446,barbarian
346,Zargoth#1193,barbarian
347,天泣情#3848,barbarian
348,Wolfelik#1683,barbarian
349,CuteGuy#1964,barbarian
350,ISNIPE84#6958,barbarian
351,LHTony#1383,barbarian
352,rusty#1825,barbarian
353,RazorShine#1262,barbarian
354,troubleshoot#1811,barbarian
355,Greyson#6817,barbarian
356,Qport#1393,barbarian
357,nukester007#1665,barbarian
358,DEXTERHARLEY#1824,barbarian
359,BigPhysh#1862,barbarian
360,ROIDS#11702,barbarian
361,Skoobz#1753,barbarian
362,pariaH#1273,barbarian
363,OneShotScott#11511,barbarian
364,eyececius#1304,barbarian
365,Jdub#1645,barbarian
366,Perigan#1325,barbarian
367,Morthos#1954,barbarian
368,zhkn#1319,barbarian
369,Crusader#1747,barbarian
370,Atlantic#1790,barbarian
371,MastaSp3kta#1785,barbarian
372,Firetruck#1971,barbarian
373,Dessik#1163,barbarian
374,Eli#1174,barbarian
375,Snugs#11976,barbarian
