rank,members
71,"['Gina#4652', 'MasterK10#11976', 'SHIKI#3513', '阿正#3651']"
72,"['Dredswich#1835', 'Zenthric#1880', 'llNeMeSisll#11860', 'Zac#1843']"
73,"['Nobadmojo#1700', 117054525, 'Dallaro#11118', 'IIIIIIIIIIII#1589']"
74,"['MissYumYum#1665', 'nDeniYal#1455', 'hOlayhOlaY#1737', 116002060]"
75,"['FiLTH#1802', 'D3AtH#6880', 'llNeMeSisll#11860', 'ImmortalKing#1296']"
76,"['Krypton#4948', 'ken#14423', 'SuperFamicom#11347', 'DeadlyShit#11141']"
77,"['ken#14423', 'DeadlyShit#11141', 'SuperFamicom#11347', 'Krypton#4948']"
78,"['DeadlyShit#11141', 'ken#14423', 'SuperFamicom#11347', 'Krypton#4948']"
79,"['Etacarinae#1997', 'Blizn#1674', 'SvtCobra#1479', 'Ants#1600']"
80,"['Ants#1600', 'Blizn#1674', 'SvtCobra#1479', 'Etacarinae#1997']"
81,"['SvtCobra#1479', 'Blizn#1674', 'Etacarinae#1997', 'Ants#1600']"
82,"['Blizn#1674', 'Etacarinae#1997', 'SvtCobra#1479', 'Ants#1600']"
83,"['Lumanasty#1514', 'thenesbito1#1981', 'chopstorm#1843', 'SoftSoap#1341']"
84,"['Blamer#11298', 'Kratos#18215', 'PhatG#1504', 'Softbreeze#1965']"
85,"['Kratos#18215', 'Blamer#11298', 'PhatG#1504', 'Softbreeze#1965']"
86,"['SquealPiggy#1215', 'hOlayhOlaY#1737', 'QtriNitY#1647', 'nDeniYal#1455']"
87,"['Exceclint#1786', 121028136, 'AimBotL#1727', 'Supremacy#11286']"
88,"['Kalista#11928', 40187867, 'Mikasa#12305', 'FriedChicken#1660']"
89,"['snail#1894', 'z0uNdz#1211', 'Katalina#11827', 'freebird1747#1249']"
90,"['z0uNdz#1211', 'snail#1894', 'Katalina#11827', 'freebird1747#1249']"
91,"['freebird1747#1249', 'snail#1894', 'Katalina#11827', 'z0uNdz#1211']"
92,"['Katalina#11827', 'snail#1894', 'z0uNdz#1211', 'freebird1747#1249']"
93,"['Alarak#11602', 'omaivn#6158', 'khoapk#1511', 'DuongVeCoEm#1515']"
94,"['khoapk#1511', 'omaivn#6158', 'Alarak#11602', 'DuongVeCoEm#1515']"
95,"['DuongVeCoEm#1515', 'omaivn#6158', 'khoapk#1511', 'Alarak#11602']"
96,"['omaivn#6158', 'Alarak#11602', 'khoapk#1511', 'DuongVeCoEm#1515']"
97,"['kiyuu#11699', 'marigatou#1880', 'ruby#11349', 20307795]"
98,"[20307795, 'marigatou#1880', 'ruby#11349', 'kiyuu#11699']"
99,"['marigatou#1880', 20307795, 'ruby#11349', 'kiyuu#11699']"
100,"['ruby#11349', 'marigatou#1880', 20307795, 'kiyuu#11699']"
101,"['Calixta#11513', 'fanatic#1209', 'ULU#11322', 'UNTAMEDGIRTH#11840']"
102,"['Violet#21923', 'Mathison#11653', '帥到分手#4138', '曠野#4100']"
103,"['帥到分手#4138', 'Mathison#11653', 'Violet#21923', '曠野#4100']"
104,"['aqua#1935', 'IllIllIllIll#11297', 'KoReAnFeVeR#1533', 'fanatic#1209']"
105,"['Anna#12835', 'QtriNitY#1647', 'fanatic#1209', 92503789]"
106,"['Treve#6524', 'JBlued#1748', 'Glory#12739', 'Mulan#1567']"
107,"['JBlued#1748', 'Treve#6524', 'Glory#12739', 'Mulan#1567']"
108,"['Mulan#1567', 'Treve#6524', 'Glory#12739', 'JBlued#1748']"
109,"['Glory#12739', 'Treve#6524', 'JBlued#1748', 'Mulan#1567']"
110,"['retrommel#1328', 'chopstorm#1843', 'Haiden#1782', 'thenesbito1#1981']"
111,"['Merkyurial#1964', 'QtriNitY#1647', 121028136, 'Rafale#11876']"
112,"['SunShine#6947', 'Olympians#6665', 'AomineDaiki#11617', 'TiaNzKoHaKu#1230']"
113,"['AomineDaiki#11617', 'SunShine#6947', 'Olympians#6665', 'TiaNzKoHaKu#1230']"
114,"['TiaNzKoHaKu#1230', 'SunShine#6947', 'AomineDaiki#11617', 'Olympians#6665']"
115,"['Olympians#6665', 'SunShine#6947', 'AomineDaiki#11617', 'TiaNzKoHaKu#1230']"
116,"['Frankie#11983', 'FilthyCasual#11422', 40187867, 'Kalista#11928']"
117,"['FilthyCasual#11422', 'Kalista#11928', 40187867, 'Frankie#11983']"
118,"['Prince#41604', 'Mathison#11653', '曠野#4100', 'Violet#21923']"
119,"['Larth2i0#1401', 'ImmortalKing#1296', 'fanatic#1209', 'Xoro#1921']"
120,"['keygold#1898', 'LoveLinesS#11349', 'RattleLamia#11161', 121560780]"
121,"['Gemini#41457', 'D3AtH#6880', 121028136, 53579782]"
122,"['SpreGrand#6156', 'yut79#1858', 'AomineDaiki#11617', 'TiaNzKoHaKu#1230']"
